ts,symbol,price,funding,next_funding_ms,open_interest,oi_value,turnover_24h,chg_24h
2026-07-27T00:02:32+00:00,BTCUSDT,65308.0,9.224562758831231e-06,0,2100.6887,137191777.6196,180089677.0212,0.01581869935138669
2026-07-27T00:02:32+00:00,ETHUSDT,1952.3,2.207539534651437e-05,0,26424.735,51589010.1405,71720631.8563,0.04211593893455734
2026-07-27T00:02:32+00:00,SOLUSDT,76.65,4.921195965970896e-05,0,210964.96,16170464.184,29749528.305000003,0.029826682789197978
2026-07-27T00:02:32+00:00,XRPUSDT,1.11224,1.9807419555844062e-05,0,12068233.0,13422771.471919999,20192022.049999997,0.014410273247966066
2026-07-27T00:02:32+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T00:02:32+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T00:02:32+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T00:02:32+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T00:02:32+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T00:02:32+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T00:02:32+00:00,EURUSD,1.1401,0.0,0,0.0,0.0,0.0,0.0022857142857142243
2026-07-27T00:02:32+00:00,GOLD,4098.0,0.0,0,0.0,0.0,23809380.0,0.0066817333202318085
2026-07-27T00:13:09+00:00,BTCUSDT,65155.0,9.246224305943519e-06,0,2100.3813,136850343.6015,182072793.711,0.0120536199692447
2026-07-27T00:13:09+00:00,ETHUSDT,1947.2,2.213321401756368e-05,0,26414.616,51434540.2752,71862870.5584,0.0380084226238071
2026-07-27T00:13:09+00:00,SOLUSDT,76.54,4.928268497408795e-05,0,210555.49,16115917.2046,29801730.740800004,0.025867846133226235
2026-07-27T00:13:09+00:00,XRPUSDT,1.11047,1.983899099191513e-05,0,12067465.0,13400557.858550001,20084875.44728,0.011025528970465048
2026-07-27T00:13:09+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T00:13:09+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T00:13:09+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T00:13:09+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T00:13:09+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T00:13:09+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T00:13:09+00:00,EURUSD,1.1404,0.0,0,0.0,0.0,0.0,0.0025494505494505493
2026-07-27T00:13:09+00:00,GOLD,4105.8,0.0,0,0.0,0.0,28132941.6,0.008597818610592611
2026-07-27T00:23:46+00:00,BTCUSDT,65082.0,9.256595443498203e-06,0,2095.8254,136400508.68280002,183393845.38979998,0.01068422523837631
2026-07-27T00:23:46+00:00,ETHUSDT,1941.2,2.2201624940758295e-05,0,26454.481,51353438.5172,72329731.24280001,0.03387302939923309
2026-07-27T00:23:46+00:00,SOLUSDT,76.41,4.9366531971164664e-05,0,210533.15,16086837.9915,29752369.1595,0.022344126304522316
2026-07-27T00:23:46+00:00,XRPUSDT,1.10924,1.986098980093758e-05,0,12073161.0,13392033.10764,20051129.16268,0.009675863136144658
2026-07-27T00:23:46+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T00:23:46+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T00:23:46+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T00:23:46+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T00:23:46+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T00:23:46+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T00:23:46+00:00,EURUSD,1.141,0.0,0,0.0,0.0,0.0,0.0030769230769231992
2026-07-27T00:23:46+00:00,GOLD,4118.2,0.0,0,0.0,0.0,35507120.4,0.011643902918345272
2026-07-27T00:34:24+00:00,BTCUSDT,65144.0,9.247785592744534e-06,0,2095.2641,136493884.53039998,179895025.712,0.011584210689773
2026-07-27T00:34:24+00:00,ETHUSDT,1941.7,2.2195907882268116e-05,0,26518.591,51491148.1447,73006232.6627,0.034966153190128635
2026-07-27T00:34:24+00:00,SOLUSDT,76.44,4.934715735108179e-05,0,210522.37,16092329.9628,29748197.606399998,0.02219844878309707
2026-07-27T00:34:24+00:00,XRPUSDT,1.10894,1.9866362766959436e-05,0,12067918.0,13382596.986920001,20075561.108260002,0.009375227554066834
2026-07-27T00:34:24+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T00:34:24+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T00:34:24+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T00:34:24+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T00:34:24+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T00:34:24+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T00:34:24+00:00,EURUSD,1.1416,0.0,0,0.0,0.0,0.0,0.003604395604395627
2026-07-27T00:34:24+00:00,GOLD,4104.7,0.0,0,0.0,0.0,40439504.4,0.008327601454259481
2026-07-27T00:45:02+00:00,BTCUSDT,65099.0,9.254178169461128e-06,0,2097.1995,136525590.25050002,180262223.20250002,0.011419427008886984
2026-07-27T00:45:02+00:00,ETHUSDT,1940.1,2.2214212842121543e-05,0,26471.604,51357558.92039999,73758260.0562,0.03449930681454605
2026-07-27T00:45:02+00:00,SOLUSDT,76.37,4.9392388476059864e-05,0,210733.45,16093713.576500002,29756780.8342,0.023177920685959252
2026-07-27T00:45:02+00:00,XRPUSDT,1.10833,1.987729676792291e-05,0,12065757.0,13372840.455810001,20038839.1493,0.00924256497113407
2026-07-27T00:45:02+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T00:45:02+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T00:45:02+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T00:45:02+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T00:45:02+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T00:45:02+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T00:45:02+00:00,EURUSD,1.1408,0.0,0,0.0,0.0,0.0,0.0029010989010989086
2026-07-27T00:45:02+00:00,GOLD,4102.6,0.0,0,0.0,0.0,47672212.00000001,0.007811732337624111
2026-07-27T00:55:40+00:00,BTCUSDT,65027.0,9.264424695184309e-06,0,2096.8316,136350668.4532,179993500.48700002,0.009532237281294043
2026-07-27T00:55:40+00:00,ETHUSDT,1938.8,2.2229107868269035e-05,0,26473.116,51326077.3008,73801490.2788,0.032979913687463336
2026-07-27T00:55:40+00:00,SOLUSDT,76.23,4.9483099933316166e-05,0,210898.37,16076782.7451,29777319.3564,0.02034533529647975
